,jurisdiction,year,includes_jails,prisoner_count,State.Min.Wage,Fed.Min.Wage,Eff.Min.Wage,CPI.Average,DOL.Low.Value,DOL.High.Value,median_income,prisoner_count_per_milion,violent_crime_per_million,murder_manslaughter_per_million,rape_legacy_per_million,rape_revised_per_million,robbery_per_million,agg_assault_per_million,property_crime_per_million,burglary_per_million,larceny_per_million,vehicle_theft_per_million,White,Black,Hispanic,Asian.Native.Hawaiian.and.Pacific.Islander,American.Indian.Alaska.Native,Multiple.Races,Total,unemployment_rate
231,Montana,2013,FALSE,3125,4,7.25,7.25,232.957,4,7.8,45534,3079.230321,2881.174226,22.66313516,376.4051144,460.1601791,213.8217535,2184.529159,25811.34024,4061.627962,19896.26196,1853.450315,0.148,NA,0.31,NA,0.423,0.304,0.174,5.4
232,Montana,2014,FALSE,3119,7.9,7.25,7.9,236.736,7.9,7.9,52965,3047.151221,3236.682269,36.14767399,420.0945897,528.5376117,198.3237249,2473.673258,24728.91687,3512.186162,19220.79292,1995.937783,0.135,0.355,0.287,0.325,0.406,0.195,0.161,4.7
233,Montana,2015,FALSE,3176,8.05,7.25,8.05,237.017,8.05,8.05,53177,3074.691974,3495.816347,34.85167225,417.251965,529.5517978,203.3014215,2728.111456,26235.56439,3715.575503,20179.11823,2340.870653,0.124,NA,0.147,NA,0.388,0.309,0.146,4.2
234,Montana,2016,FALSE,3199,8.05,7.25,8.05,240.007,8.05,8.05,58302,3079.941771,3741.373467,35.6229589,NA,575.7440384,258.0257564,2871.980714,27108.10894,3818.396081,20629.54433,2660.168525,0.119,NA,0.143,NA,0.241,0.209,0.131,4.1
235,Nebraska,2008,FALSE,4470,5.85,5.85,5.85,215.303,5.85,5.85,57897,2506.403384,3123.191689,38.68944821,336.9907011,NA,727.249483,2020.262057,28792.7995,4895.61699,21528.1547,2369.027807,0.09,0.327,0.21,NA,0.469,NA,0.113,3.3
236,Nebraska,2009,FALSE,4490,6.55,6.55,6.55,214.537,6.55,6.55,56801,2499.13866,2893.768796,22.82064255,343.4228403,NA,679.0532662,1848.472047,27680.32621,4856.900656,20870.31251,1953.113042,0.092,0.295,0.246,0.218,0.387,0.17,0.119,4.6
237,Nebraska,2010,FALSE,4608,7.25,7.25,7.25,218.056,7.25,7.25,59157,2517.838789,2782.845693,29.50592331,368.2776354,NA,557.334107,1827.728028,26679.36514,4545.005002,20160.19531,1974.164832,0.099,0.406,0.253,NA,0.451,0.236,0.131,4.6
238,Nebraska,2011,FALSE,4657,7.25,7.25,7.25,224.939,7.25,7.25,60748,2527.90905,2536.051338,36.91170611,379.4306261,NA,539.0194731,1580.689532,27626.24075,4736.097586,20659.69904,2230.444124,0.091,0.223,0.256,0.284,0.351,0.168,0.119,4.4
239,Nebraska,2012,FALSE,4721,7.25,7.25,7.25,229.594,7.25,7.25,55830,2544.533376,2588.190907,28.02705689,382.6771229,NA,607.9715418,1569.515186,27597.48834,4713.396394,20643.54434,2240.547606,0.087,0.283,0.243,0.125,0.338,0.277,0.116,4
240,Nebraska,2013,FALSE,5012,7.25,7.25,7.25,232.957,7.25,7.25,60735,2681.69242,2647.983995,29.9630438,332.2687535,453.1910374,553.7812559,1611.048658,26323.06903,4786.061192,19150.13037,2386.877471,0.102,0.342,0.225,0.159,0.42,0.196,0.13,3.8
241,Nebraska,2014,FALSE,5228,7.25,7.25,7.25,236.736,7.25,7.25,58944,2778.629638,2803.609667,28.70045915,329.5237903,458.1443665,554.3440537,1762.420788,25234.61297,4225.345375,18641.47971,2367.78788,0.099,0.296,0.248,NA,0.329,0.167,0.126,3.3
242,Nebraska,2015,FALSE,5133,8,7.25,8,237.017,8,8,62571,2707.007209,2748.669701,32.69714533,343.8473993,460.3969012,524.2090719,1731.366582,22410.72888,3386.791408,16913.91685,2110.02062,0.091,0.321,0.241,0.207,0.378,0.306,0.126,3
